post_id,title,category,score,num_comments,author,collected_at
47647455,Talk like caveman,entertainment,37,17,tosh,2026-04-05 16:04:47
47640728,Show HN: A game where you build a GPU,technology,766,159,Jaso1024,2026-04-05 16:04:51
47645432,Introduction to Computer Music (2009) [pdf],technology,161,53,luu,2026-04-05 16:04:53
47644406,German implementation of eIDAS will require an Apple/Google account to function,technology,279,239,DyslexicAtheist,2026-04-05 16:04:55
47640875,"LLM Wiki – example of an ""idea file""",technology,201,61,tamnd,2026-04-05 16:05:02
47587089,"Zml-smi: universal monitoring tool for GPUs, TPUs and NPUs",technology,46,7,steeve,2026-04-05 16:05:10
47598835,Rubysyn: Clarifying Ruby's Syntax and Semantics,entertainment,49,5,petalmind,2026-04-05 16:05:16
47642569,How many products does Microsoft have named 'Copilot'?,technology,649,311,gpi,2026-04-05 16:05:18
47613118,Show HN: I built a small app for FSI German Course,technology,37,10,syedmsawaid,2026-04-05 16:05:19
47644864,"AWS engineer reports PostgreSQL perf halved by Linux 7.0, fix may not be easy",technology,297,90,crcastle,2026-04-05 16:05:21
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",entertainment,72,30,waveywaves,2026-04-05 16:05:23
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,10,1,lexalizer,2026-04-05 16:05:25
47609117,Ask HN: Is there any interest in a native Qt/C++ Discord client?,worldnews,5,5,txtsd,2026-04-05 16:05:29
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,108,10,kaipereira,2026-04-05 16:05:32
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",technology,159,79,jrandolf,2026-04-05 16:05:38
47646363,Modern Generic SVGA driver for Windows 3.1,sports,43,9,userbinator,2026-04-05 16:05:45
47639291,The Indie Internet Index – submit your favorite sites,technology,148,28,freshman_dev,2026-04-05 16:05:48
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,technology,86,13,laszlokorte,2026-04-05 16:05:58
47604887,Electrical transformer manufacturing is throttling the electrified future,worldnews,88,79,toomuchtodo,2026-04-05 16:06:01
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,436,194,naves,2026-04-05 16:06:04
